L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12LX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L14,L14L14L14L14,L14L14L15L15,L15L15L15L15,L15L15L15L14,L14L14L14LX
L11L11L11L11,L11L11L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11LX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L11L11,L11L10L11L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L12L12L12L13,L13L13L13L13,L13L13L13L13,L13L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L13L13,L13L12L12LX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12LX
L8L7L7L7,L7L7L7L6,L6L6L6L7,L7L7L7L7,L7L8L8L9,L9L9L10L10,L10L10L11L11,L11L11L11L11,L11L11L11LX
L9L9L9L9,L9L10L10L10,L10L10L9L9,L9L9L9L8,L8L8L8L8,L8L8L9L9,L9L9L9L10,L10L10L10L10,L10L10L10LX
L10L10L11L11,L11L11L11L11,L11L10L10L10,L10L10L10L10,L10L9L9L10,L10L10L10L10,L10L11L11L11,L11L12L12L12,L12L12L12LX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12LX
L15L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L15,L15L15L15L15,L15L15L14L14,L14L14L14LX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12LX
L9L9L9L10,L10L10L10L10,L10L10L10L9,L9L9L9L9,L9L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L9L8LX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12LX
L14L14L14L14,L14L14L15L15,L15L15L15L16,L16L17L18L17,L17L19L18L17,L17L16L16L16,L16L15L14L14,L14L14L14L14,L14L13L13LX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12LX
L5L4L4L4,L4L4L4L4,L4L4L4L4,L4L3L3L3,L3L3L0L1,L1L1L1L1,L1L2L2L2,L2L3L3L3,L3L4L4LX
