L12L12L12L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L12L12L12,L12LXLXLX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L13,L13LXLXLX
L11L11L11L11,L11L11L11L11,L11L11L11L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L11L11L11,L11LXLXLX
L10L10L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L10,L10L10L10L10,L10LXLXLX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
L12L12L12L11,L11L11L11L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
L11L11L11L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L11L11L11,L11L11L11L11,L11LXLXLX
L13L13L12L12,L12L11L10L10,L10L11L10L10,L10L10L11L11,L11L11L11L11,L11L11L12L12,L12L12L12L12,L12LXLXLX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L11L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
L9L9L8L7,L7L7L7L6,L6L6L5L5,L5L5L5L6,L6L6L7L8,L8L8L9L9,L9L10L11L11,L11LXLXLX
L0L6L7L8,L8L8L8L8,L8L8L8L8,L8L8L8L9,L9L9L10L9,L9L9L9L9,L9L9L9L9,L9LXLXLX
L9L9L9L10,L10L10L10L10,L10L10L10L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L12L12,L12LXLXLX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
L11L11L11L11,L11L10L10L10,L10L10L9L9,L9L9L9L9,L9L9L10L10,L10L10L10L11,L11L11L11L12,L12LXLXLX
L12L12L13L13,L13L13L13L14,L14L14L14L14,L14L15L15L15,L15L16L17L19,L19L16L15L14,L14L14L13L13,L13LXLXLX
L7L10L8L11,L11L9L9L9,L9L8L8L8,L8L8L8L8,L8L8L7L7,L7L7L7L7,L7L7L7L7,L7LXLXLX
L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
L12L12L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L12L12,L12L12L13L13,L13LXLXLX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14L14L14L14,L14L14L13L13,L13LXLXLX
L6L6L9L8,L8L8L8L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L9L9,L9L10L9L9,L9LXLXLX
