9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
17,17,17,17,17,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,17,16
15,15,15,15,15,15,14,15,15,15,15,15,15,14,14,14,15,15,15,15,16,16
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14
16,16,16,16,16,16,15,15,15,15,15,16,15,16,16,16,16,16,16,16,17,17
17,17,17,17,17,16,16,17,15,15,15,16,17,17,18,18,18,19,19,19,19,19
3,3,4,10,10,10,10,10,10,10,10,10,10,0,10,10,10,4,5,5,5,5
14,14,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,14
12,13,13,13,13,14,14,14,14,14,14,14,14,15,16,15,14,14,14,14,14,14
14,14,15,15,15,16,16,16,16,16,16,16,16,16,17,17,16,16,15,16,16,17
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14
18,18,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17
13,15,14,17,14,14,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13
6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
13,13,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14
