L8L8L9L9,L9L9L9L9,L9L9L9L9,L9L9L9L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L9,L9L9L9L9,L9L9L9L9,L9L9L9LX
L19L19L19L19,L19L19L18L17,L17L17L17L16,L16L16L16L16,L16L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15LX
L19L19L18L18,L18L17L17L17,L17L16L16L16,L16L15L15L15,L15L15L15L15,L15L15L15L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L16L17L17L17,L17L17L17L17,L17L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L17L17,L17L17L18LX
L11L11L11L11,L11L11L11L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L16L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15LX
L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L17L17L17,L17L17L17L17,L17L17L17LX
L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7LX
L14L14L14L14,L14L14L14L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L14L14L14,L14L14L14L14,L14L14L14LX
L12L12L12L12,L12L12L12L13,L13L13L13L13,L13L13L13L13,L13L13L14L14,L14L14L14L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L14L14L14,L14L15L15LX
L16L15L0L13,L13L14L14L15,L15L15L15L15,L15L14L14L14,L14L14L15L15,L15L15L15L15,L15L15L15L15,L15L13L12L11,L11L14L13L15,L15L15L16L17,L17L18L19LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L17L17L17L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L17L17,L17L17L17L17,L17L17L18L18,L18L18L18L18,L18L18L18L18,L18L18L18LX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13LX
L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L17L17L17L17,L17L17L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L18,L18L18L18L18,L18L18L18LX
L15L15L14L14,L14L14L14L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13LX
