L9L9L9L9,L9L9L9L9,L9L9L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L9,L9L9L9L9,L9LXLXLX
L19L18L18L17,L17L17L17L17,L17L17L17L17,L17L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L19L19L19,L19LXLXLX
L19L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L19L19,L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L18L18L18,L18LXLXLX
L17L17L17L17,L17L17L17L17,L17L16L16L16,L16L16L16L16,L16L15L15L15,L15L15L15L15,L15L15L15L15,L15L16L16L16,L16L17L17L17,L17LXLXLX
L11L11L11L11,L11L11L11L11,L11L11L10L10,L10L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11L11L11L11,L11LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L13L13,L13L14L14L14,L14L14L14L14,L14L13L13L13,L13L13L13L14,L14L14L14L14,L14LXLXLX
L16L16L16L16,L16L16L16L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15LXLXLX
L18L18L17L17,L17L18L18L18,L18L18L17L17,L17L17L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L17L17L17,L17L18L18L18,L18LXLXLX
L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L8,L8L8L8L8,L8L8L8L8,L8L8L7L7,L7L7L7L7,L7L7L7L7,L7LXLXLX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L14,L14L14L15L15,L15L15L15L15,L15L15L15L15,L15LXLXLX
L12L13L13L13,L13L14L14L14,L14L14L15L15,L15L15L15L15,L15L15L14L14,L14L14L14L14,L14L13L14L14,L14L14L15L15,L15L15L15L15,L15LXLXLX
L13L0L14L14,L14L15L15L15,L15L15L16L17,L17L17L16L16,L16L16L15L15,L15L13L12L13,L13L14L15L15,L15L16L17L18,L18L19L18L17,L17LXLXLX
L10L10L10L10,L10L10L10L10,L10L10L11L10,L10L11L11L11,L11L11L11L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L13,L13L13L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L19L19L19L19,L19L19L19L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L19L19L19,L19LXLXLX
L12L12L12L12,L12L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13LXLXLX
L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7L7L7L7,L7LXLXLX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14LXLXLX
L18L18L18L19,L19L19L19L18,L18L18L18L18,L18L18L18L18,L18L18L18L17,L17L17L17L17,L17L17L17L17,L17L18L18L18,L18L18L18L18,L18LXLXLX
L13L13L13L13,L13L13L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12L12L12L12,L12LXLXLX
