L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8L8,L8L8L8LX
L17L17L17L17,L17L17L16L16,L16L16L16L16,L16L16L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15LX
L17L17L17L16,L16L16L16L16,L16L16L16L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L14L14,L14L14L14L14,L14L15L15LX
L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L16L16,L16L16L16L16,L16L16L16L16,L16L16L16L16,L16L17L17L17,L17L17L17LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15L15,L15L15L15LX
L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17L17,L17L17L17LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L12L12L12,L12L12L12L12,L12L12L12L13,L13L13L13L13,L13L14L14L14,L14L14L14L14,L14L14L14LX
L12L12L12L12,L12L12L13L13,L13L13L14L14,L14L14L14L14,L14L14L13L13,L13L13L13L13,L13L14L14L14,L14L15L15L15,L15L15L15L16,L16L16L16LX
L13L13L13L14,L14L15L15L16,L16L16L16L16,L16L15L15L14,L14L14L14L14,L14L14L14L14,L14L15L15L16,L16L16L17L19,L19L18L17L17,L17L17L17LX
L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10L10,L10L10L10LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L19L19,L19L19L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L19L19,L19L19L19LX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13LX
L3L3L3L3,L3L3L3L3,L3L3L3L3,L3L3L3L3,L3L3L3L3,L3L3L3L3,L3L3L3L3,L3L3L3L3,L3L3L3L2,L2L1L0LX
L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14L14,L14L14L14LX
L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18L18,L18L18L18LX
L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13L13,L13L13L13LX
